Week	Date	Player	Class	Spec	Role	Main/Alt	Item
1	Feb 19	Bugatti	Druid	Feral (Bear)	Tank	Alt	Pauldrons of the Fallen Defender
1	Feb 19	Bugatti	Druid	Feral (Bear)	Tank	Alt	Chestguard of the Fallen Defender
1	Feb 19	Bungle	Druid	Restoration	Healer	Main	Cowl of Nature's Breath
1	Feb 19	Girthstorm	Druid	Feral (Bear)	Tank	Main	Leggings of the Fallen Defender
1	Feb 19	Girthstorm	Druid	Feral (Bear)	Tank	Main	Chestguard of the Fallen Defender
1	Feb 19	Throbby	Hunter	Beast Mastery	Physical DPS	Main	Gronn-Stitched Girdle
1	Feb 19	Koco	Mage	Frost	Caster DPS	Main	Brute Cloak of the Ogre-Magi
1	Feb 19	Skryt	Mage	Frost	Caster DPS	Main	Brute Cloak of the Ogre-Magi
1	Feb 19	Cash	Paladin	Retribution	Physical DPS	Main	Terror Pit Girdle
1	Feb 19	Massesto	Paladin	Protection	Tank	Main	Magtheridon's Head
1	Feb 19	Sleepyrat	Paladin	Holy	Healer	Main	Pauldrons of the Fallen Champion
1	Feb 19	Bake	Priest	Holy	Healer	Main	Magtheridon's Head
1	Feb 19	Mac	Priest	Holy	Healer	Main	Eye of Gruul
1	Feb 19	Gono	Rogue	Combat	Physical DPS	Main	Leggings of the Fallen Champion
1	Feb 19	Shawtydgaf	Rogue	Combat	Physical DPS	Main	Chestguard of the Fallen Champion
1	Feb 19	Tombradygoat	Shaman	Restoration	Healer	Main	Aegis of the Vindicator
1	Feb 19	Dil	Warlock	Affliction	Caster DPS	Main	Leggings of the Fallen Hero
1	Feb 19	Doge	Warlock	Affliction	Caster DPS	Main	Chestguard of the Fallen Hero
1	Feb 19	Xenodank	Warlock	Affliction	Caster DPS	Main	Pauldrons of the Fallen Hero
1	Feb 19	Yaske	Warlock	Affliction	Caster DPS	Main	Pauldrons of the Fallen Hero
2	Feb 24	Bungle	Druid	Restoration	Healer	Main	Chestguard of the Fallen Defender
2	Feb 24	Creek	Druid	Restoration	Healer	Main	Crystalheart Pulse-Staff
2	Feb 24	Massesto	Druid	Feral (Bear)	Tank	Alt	Leggings of the Fallen Defender
2	Feb 24	Viffer	Druid	Restoration	Healer	Main	Chestguard of the Fallen Defender
2	Feb 24	Doge	Hunter	Beast Mastery	Physical DPS	Alt	Terror Pit Girdle
2	Feb 24	Veile	Hunter	Beast Mastery	Physical DPS	Main	Gronn-Stitched Girdle
2	Feb 24	Blargn	Mage	Frost	Caster DPS	Main	Eredar Wand of Obliteration
2	Feb 24	Cash	Paladin	Retribution	Physical DPS	Main	Pauldrons of the Fallen Champion
2	Feb 24	Ebtmommy	Paladin	Protection	Tank	Main	Chestguard of the Fallen Champion
2	Feb 24	Kalihiwai	Paladin	Holy	Healer	Main	Magtheridon's Head
2	Feb 24	Keefy	Paladin	Retribution	Physical DPS	Main	Pauldrons of the Fallen Champion
2	Feb 24	Massesto	Paladin	Protection	Tank	Main	Bloodmaw Magus-Blade
2	Feb 24	Massesto	Paladin	Protection	Tank	Main	Leggings of the Fallen Champion
2	Feb 24	Pizookies	Paladin	Protection	Tank	Alt	Aldori Legacy Defender
2	Feb 24	Sleepyrat	Paladin	Holy	Healer	Main	Magtheridon's Head
2	Feb 24	Priestlynn	Priest	Shadow	Caster DPS	Main	Eye of Magtheridon
2	Feb 24	Sergo	Priest	Shadow	Caster DPS	Main	Leggings of the Fallen Defender
2	Feb 24	Elektro	Rogue	Combat	Physical DPS	Main	Leggings of the Fallen Champion
2	Feb 24	Corr	Shaman	Enhancement	Physical DPS	Alt	Maulgar's Warhelm
2	Feb 24	Dody	Shaman	Enhancement	Physical DPS	Main	Cloak of the Pit Stalker
2	Feb 24	Gono	Shaman	Enhancement	Physical DPS	Alt	Liar's Tongue Gloves
2	Feb 24	Rfx	Shaman	Enhancement	Physical DPS	Alt	Pauldrons of the Fallen Champion
2	Feb 24	Doge	Warlock	Affliction	Caster DPS	Main	Pauldrons of the Fallen Hero
2	Feb 24	Jalisco	Warlock	Affliction	Caster DPS	Main	Pauldrons of the Fallen Hero
2	Feb 24	Koco	Warlock	Affliction	Caster DPS	Alt	Pauldrons of the Fallen Hero
2	Feb 24	Valiks	Warlock	Affliction	Caster DPS	Main	Leggings of the Fallen Hero
2	Feb 24	Xenodank	Warlock	Affliction	Caster DPS	Main	Magtheridon's Head
2	Feb 24	Yaske	Warlock	Affliction	Caster DPS	Main	Leggings of the Fallen Hero
2	Feb 24	Yaske	Warlock	Affliction	Caster DPS	Main	Chestguard of the Fallen Hero
2	Feb 24	Bugatti	Warrior	Protection	Tank	Main	Aldori Legacy Defender
2	Feb 24	Corr	Warrior	Fury	Physical DPS	Main	Chestguard of the Fallen Defender
2	Feb 24	Daladed	Warrior	Fury	Physical DPS	Main	Chestguard of the Fallen Defender
2	Feb 24	Pizookies	Warrior	Fury	Physical DPS	Main	Bladespire Warbands
2	Feb 24	Vspades	Warrior	Fury	Physical DPS	Main	Bladespire Warbands
3	March 3	Bored	Druid	Feral (Bear)	Tank	Main	Chestguard of the Fallen Defender
3	March 3	Bugatti	Druid	Feral (Bear)	Tank	Alt	Leggings of the Fallen Defender
3	March 3	Bungle	Druid	Restoration	Healer	Main	Leggings of the Fallen Defender
3	March 3	Capriciousxo	Druid	Balance	Caster DPS	Main	Leggings of the Fallen Defender
3	March 3	Girthstorm	Druid	Feral (Bear)	Tank	Main	Pauldrons of the Fallen Defender
3	March 3	Skryt	Druid	Balance	Caster DPS	Alt	Leggings of the Fallen Defender
