Player	Class	Spec	Role	Main / Alt
Bored	Druid	Feral (Bear)	Tank	Main
Bungle	Druid	Restoration	Healer	Main
Capriciousxo	Druid	Balance	Caster DPS	Main
Creeq	Druid	Restoration	Healer	Main
Dommymommy	Druid	Restoration	Healer	Main
Doomqt	Druid	Balance	Caster DPS	Main
Fishynethers	Druid	Restoration	Healer	Main
Girthstorm	Druid	Feral (Bear)	Tank	Main
Lebearjames	Druid	Feral (Bear)	Tank	Main
Viffer	Druid	Restoration	Healer	Main
Byung	Hunter	Beast Mastery	Physical DPS	Main
Chainsaw	Hunter	Beast Mastery	Physical DPS	Main
Glzy	Hunter	Beast Mastery	Physical DPS	Main
Throbby	Hunter	Beast Mastery	Physical DPS	Main
Veile	Hunter	Beast Mastery	Physical DPS	Main
Whappintime	Hunter	Beast Mastery	Physical DPS	Main
Blargn	Mage	Frost	Caster DPS	Main
Boredmage	Mage	Frost	Caster DPS	Main
Hazi	Mage	Frost	Caster DPS	Main
Koco	Mage	Frost	Caster DPS	Main
Lilark	Mage	Frost	Caster DPS	Main
Skryt	Mage	Frost	Caster DPS	Main
Cash	Paladin	Retribution	Physical DPS	Main
Ebtmommy	Paladin	Protection	Tank	Main
Elusivegod	Paladin	Retribution	Physical DPS	Main
Kalihiwai	Paladin	Holy	Healer	Main
Keefy	Paladin	Retribution	Physical DPS	Main
Massesto	Paladin	Protection	Tank	Main
Sleepyrat	Paladin	Holy	Healer	Main
Subforfeet	Paladin	Holy	Healer	Main
Bake	Priest	Holy	Healer	Main
HotforSenpai	Priest	Holy	Healer	Main
Mac	Priest	Holy	Healer	Main
Priestlynn	Priest	Shadow	Caster DPS	Main
Sergo	Priest	Shadow	Caster DPS	Main
Shmoo	Priest	Holy	Healer	Main
Zephleo	Priest	Shadow	Caster DPS	Main
Elektro	Rogue	Combat	Physical DPS	Main
Gono	Rogue	Combat	Physical DPS	Main
Shawtydgaf	Rogue	Combat	Physical DPS	Main
Atraeha	Shaman	Restoration	Healer	Main
Barbatos	Shaman	Restoration	Healer	Main
Bonclay	Shaman	Restoration	Healer	Main
Case	Shaman	Enhancement	Physical DPS	Main
Creek	Shaman	Restoration	Healer	Main
Dody	Shaman	Enhancement	Physical DPS	Main
Elektro	Shaman	Elemental	Caster DPS	Alt
Haanii	Shaman	Elemental	Caster DPS	Main
Jestin	Shaman	Restoration	Healer	Main
Tombradygoat	Shaman	Restoration	Healer	Main
Dil	Warlock	Affliction	Caster DPS	Main
Doge	Warlock	Affliction	Caster DPS	Main
Dumpsterbob	Warlock	Affliction	Caster DPS	Main
Jalisco	Warlock	Affliction	Caster DPS	Main
Kayotics	Warlock	Affliction	Caster DPS	Main
Sablewright	Warlock	Affliction	Caster DPS	Main
Sweetmeat	Warlock	Affliction	Caster DPS	Main
Valiks	Warlock	Affliction	Caster DPS	Main
Xenodank	Warlock	Affliction	Caster DPS	Main
Yamz	Warlock	Affliction	Caster DPS	Main
Yaske	Warlock	Affliction	Caster DPS	Main
Bugatti	Warrior	Protection	Tank	Main
Corr	Warrior	Fury	Physical DPS	Main
Daladed	Warrior	Fury	Physical DPS	Main
DIsrespect	Warrior	Fury	Physical DPS	Main
Mhm	Warrior	Fury	Physical DPS	Main
Pizookies	Warrior	Fury	Physical DPS	Main
Rfx	Warrior	Fury	Physical DPS	Main
Vspades	Warrior	Fury	Physical DPS	Main
Bored	Druid	Balance	Caster DPS	Alt
Bugatti	Druid	Feral (Bear)	Tank	Alt
Massesto	Druid	Feral (Bear)	Tank	Alt
Shawtydgaf	Druid	Feral (Bear)	Tank	Alt
Skryt	Druid	Balance	Caster DPS	Alt
Zephleo	Druid	Balance	Caster DPS	Alt
Cash	Hunter	Beast Mastery	Physical DPS	Alt
Doge	Hunter	Beast Mastery	Physical DPS	Alt
Whappintime	Hunter	Beast Mastery	Physical DPS	Alt
Glzy	Paladin	Retribution	Physical DPS	Alt
Glzy	Paladin	Holy	Healer	Alt
Pizookies	Paladin	Protection	Tank	Alt
Bake	Shaman	Restoration	Healer	Alt
Corr	Shaman	Enhancement	Physical DPS	Alt
Gono	Shaman	Enhancement	Physical DPS	Alt
Keefy	Shaman	Enhancement	Physical DPS	Alt
Rfx	Shaman	Enhancement	Physical DPS	Alt
Skryt	Shaman	Restoration	Healer	Alt
Sleepyrat	Shaman	Enhancement	Physical DPS	Alt
Daladed	Warlock	Affliction	Caster DPS	Alt
Koco	Warlock	Affliction	Caster DPS	Alt
Massesto	Warlock	Affliction	Caster DPS	Alt
Vspades	Warlock	Affliction	Caster DPS	Alt
